artist;title;year;id;popularity;acousticness;danceability;energy;instrumentalness;mode;tempo;valence;duration_ms;preview_url;genre;language
Smash;Scouting;1970;5kdk1Z1xnlWBwWhatuHhcS;1;0.0812;0.403;0.562;0.241;1;;0.45;240986;https://p.scdn.co/mp3-preview/00a39c5168b22832b58eceb36143dce9d0d55bb6?cid=516c2d970434462eb2b843d7317ab577;Rock;Instrumental
Tara  ;Happy;1970;5SuWpxabbbYjjXAp1xknbm;3;0.353;0.528;0.595;0;1;;0.305;200000;https://p.scdn.co/mp3-preview/70c49d776eadd548be37a71305c5ce636b01ea45?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
Taranto's;Opus Pi;1970;6ZQ2HGGkHjkVFDrr2GFJPf;0;0.471;0.514;0.325;0.787;1;;0.704;137320;https://p.scdn.co/mp3-preview/9210ad11c29f469c3361511493a2b2e0574c08c9?cid=516c2d970434462eb2b843d7317ab577;Rock;Instrumental
Victor Manuel;Paxarinos;1970;5F5BOVkrdtZ8yQdVngCJX6;14;0.072;0.321;0.418;0;1;;0.404;190638;https://p.scdn.co/mp3-preview/5e6d84c7f1381d4d9940f32b2a6dc19488e7dcc8?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Spanish
Victor Manuel;Quiero Abrazarte Tanto;1970;7plH2F89nIgODAHqA12ftS;35;0.421;0.462;0.769;0;1;;0.723;186866;https://p.scdn.co/mp3-preview/811b1c640fe45480fa8f54c384774c69281a05c2?cid=516c2d970434462eb2b843d7317ab577;Singer/Songwriter;Spanish
Aguaviva;Me queda la palabra;1971;0bNC1AuAeMuQqey3vMHUTE;8;0.148;0.457;0.664;0;1;;0.616;189933;https://p.scdn.co/mp3-preview/4b3bd2dbd60a04e9eb0f5e6d02b86cff7d1feaf4?cid=516c2d970434462eb2b843d7317ab577;Folk;Spanish
Andrés do Barro;Meu amor;1971;2L9G0OvtMlT2d2mgdvHGyo;6;0.0536;0.412;0.598;2.22e-06;1;;0.453;255466;https://p.scdn.co/mp3-preview/0692053d3b6afe2d7e63f6e1ea0eb14cf62e4b33?cid=516c2d970434462eb2b843d7317ab577;Rock;Galician
Andrés do Barro;San Antón;1971;3SVUnnSH7lrqTpJglPzSuA;4;0.446;0.687;0.813;1.8e-06;1;;0.923;188266;https://p.scdn.co/mp3-preview/019548cded75f9ed2a80a562bf1371c1db461c52?cid=516c2d970434462eb2b843d7317ab577;Rock;Galician
Blume;En mis sueños;1971;1v2UGbBJtOYqDky7DUwZlN;0;0.101;0.551;0.497;0.43;1;;0.949;228329;https://p.scdn.co/mp3-preview/03e29cc7546ab9522c53c5aeab8d3bf091d62825?cid=516c2d970434462eb2b843d7317ab577;Rock;Spanish
Camilo Sesto;Amor, amar;1971;7q4mEwUErCsYFXy6AwTHSU;35;0.298;0.296;0.683;3.39e-05;0;;0.308;277733;https://p.scdn.co/mp3-preview/0ab32d2278d223380541c652b85b4bd54605c932?cid=516c2d970434462eb2b843d7317ab577;Pop;Spanish
