artist;title;year;id;genre;language
Los Pekes;Hago mal en quererte;1965;36CNKVN3bmVxzJLuq3vhSw;Pop;Spanish
Los Protones;Mis lágrimas;1965;7rhB05hqXTsxoQogeTU5RS;Pop;Spanish
Los Relámpagos;Capullito de Rosas;1965;1Jcm0539sXMNrlqTsgOsAf;Rock;Instrumental
Los Relámpagos;Dos cruces;1965;6Fk5cEsS22ccWGZfh67FdH;Rock;Instrumental
Los Relámpagos;Nit de llampecs;1965;7l9b4QEd1ekKOAcM5wGXNi;Rock;Instrumental
Los Rockeros;En forma;1965;6zz8GJlkPaaOGX6vEeinMs;Rock;Instrumental
Los Rockeros;Ensueño;1965;4kzzsSytqO5VQLbuuB1OfE;Rock;Instrumental
Los Salvajes;Se llama María;1965;4uGfIlZHwC60pXK2tzbnoz;Rock;Spanish
Los Shakers;Grito tu nombre;1965;2nUBz3HJ9MAwgm5ru8MMtb;Rock;Spanish
Los Sirex;Enseñándote a amar;1965;2VpcHgVWPtJksf9lqfKjfI;Pop;Spanish
Los Sirex;La escoba;1965;1dgi28o666VmqNP1JALauv;Pop;Spanish
Los Sirex;Que bueno, que bueno;1965;6JUDQ2KU6Pm5m1nvdYdmwB;Pop;Spanish
Los Sirex;Que se mueran los feos;1965;2b86JimepLVr509zIdO64Q;Pop;Spanish
Los Tamara;Zorba el griego;1965;3AWyPEAOKkQaEu3o4rMr5o;Pop;Spanish
Los Tiburones;Perdí tu amor;1965;0E45VyQ2hRcGIuK5I3pmZK;Rock;Spanish
Los Top-Son;Me has cazado;1965;0iENLqq2HEa2RkZ8MsPqar;Pop;Spanish
Maria del Carme Girau;L'arbre sec;1965;6z60KLyEgEZFt8AcWt9rX0;Singer/Songwriter;Catalan
Micky y los Tonys;Pretty baby;1965;218TgF3BmYe7ANjvRuPhil;Rock;English
Micky y los Tonys;Ya no estás;1965;3Pn7yjksb194wIOMq8QSEB;Rock;English
Miguel Ríos;Ayer;1965;0OFzq1FNEJGgFnSxqJE6So;Pop;Spanish
Miguel Ríos;Tema para Rocío;1965;7rGYUHgG8HqGYVawFqoGFS;Pop;Spanish
Petula Clark;Downtown;1965;0hgWgToJgb7O1tT12YWRCz;Pop;English
Raphael;Amo;1965;08l2fwcidseFr57OMuvFKh;Pop;Spanish
Raphael;Canción del tamborilero;1965;1RytdbY8m3QHFKX9gCUV8v;Pop;Spanish
Raphael;Todas las chicas me gustan;1965;62XUEoxeiJa33PzjGQ6nJR;Pop;Spanish
Richard Anthony;Mi Mundo;1965;1FAWQ92cuLMVo7c6gCB1Vw;Chanson;Spanish
Rosalía;Chica ye-yé;1965;5rABLF3i4frnKZM7u1L7gX;Pop;Spanish
The Beatles;Yesterday;1965;1e0hllQ23AG0QGFgezgLOq;Pop;English
The Brisks;El cochecito;1965;2dW4pfQcD0MINvaiMgSftL;Pop;Spanish
The Brisks;Pepe será papá;1965;50Be3a6O0n7mZeCSQ9esit;Pop;Spanish
Tony Ronald;True fine mama;1965;429zWZlyALXRhlQv5CHZLO;Rock;English
Antonio González;Levántate;1966;1e6jzCyQh4CTEDbU8tfZPz;Rumba;Spanish
Betina;A la buena de Dios;1966;1PfYqxoH2ITg7ps1KMHZoH;Pop;Spanish
Christophe;Aline;1966;3Sju0jbR35bTfajNgbkgFy;Chanson;French
Dúo Dinámico;Como ayer;1966;5ahnz2ykeFFZ7Do1KQCasc;Pop;Spanish
Dúo Dinámico;Tal vez;1966;3D6LNTUtfT1I2xBFfhje3o;Pop;Spanish
Els 3 Tambors;Romanço del fill de vídua;1966;2fkHI4IO7rkAorQsB746jK;Rock;Catalan
Frank Sinatra;Strangers In The Night;1966;4yRPGDmtIWZjhIPcEvPxsF;Canción ligera;English
Herve Vilard;Capri C’Est Fini;1966;2NSRCbvV9CaRUN8zJauMOl;Chanson;French
Joan Manuel Serrat;Ara que tinc vint anys;1966;3sbFL6MOViiY2cmVeRLTWY;Singer/Songwriter;Catalan
José Guardiola;Extraños en la noche;1966;5QvSMBSfXTVRlbBo3kTbwW;Pop;Spanish
Karina;A quien pueda interesar;1966;3nuIKrSwntiiG630KIIfw0;Pop;Spanish
Karina;Concierto para enamorados;1966;0rgmmmzSh2YAbcXWW03B5h;Pop;Spanish
Lone Star;Chica Solitaria;1966;2XJFcdjFcz1XkFy3eHeHSg;Rock;Spanish
Lone Star;It's a man's man's man's world;1966;347gVuHzRr2YlABgNRMjob;Rock;English
Los 4 de la Torre;Vuelo 502;1966;3B7WTckecmKKzMaeGiGrAR;Pop;Spanish
Los Ángeles Azules;Canto a lo español;1966;58mAIbHMzcJjHSWNReNwDd;Pop;Spanish
Los Bravos;Black is black;1966;6lazLV13sV8VNGJTjL4Zeu;Rock;English
Los Bravos;It’s not unusual;1966;0TZYXoYbO9yDvVeabpEaXW;Rock;English
Los Bravos;La Moto;1966;0GS0PoeH5OU8kZTgyWI3UJ;Rock;Spanish
Los Bravos;La parada del autobús;1966;0OERCeEQ0vQvECl4NJI7qx;Rock;Spanish
Los Bravos;No sé mi nombre;1966;6MYXbpwKIsZ6BG8tfZMXWE;Rock;Spanish
Los Brincos;A mí con esas;1966;0nnFMq5ekKrZvpmxGRAcZW;Pop;Spanish
Los Brincos;Mejor;1966;7oWVqMVT3LOHHvnSVrRnVh;Pop;Spanish
Los Brincos;Renacerá;1966;3HrWJrJMB7bCGrA61T7EJU;Pop;Spanish
Los Brincos;Un sorbito de Champagne;1966;2tFw1rpG8RqiWPJJDPikJt;Pop;Spanish
